#{"t_start": 1758727032.806449, "env_id": "None"}
r,l,t
1000.0,1000,3.923356
1000.0,1000,7.716982
1000.0,1000,11.455487
1000.0,1000,15.424509
1000.0,1000,19.316663
441.0,492,21.114165
816.0,917,24.686165
676.0,727,27.378463
129.0,230,28.323924
384.0,485,30.354164
170.0,271,31.37212
367.0,468,33.104293
254.0,305,34.368333
243.0,294,35.467529
240.0,291,36.590971
310.0,361,37.98937
440.0,491,40.111231
303.0,354,41.424432
112.0,163,42.018764
177.0,228,42.85007
175.0,226,43.696166
159.0,210,44.466378
138.0,189,45.166588
241.0,292,46.227158
230.0,281,47.274252
171.0,272,48.271016
246.0,297,49.357216
128.0,179,50.027703
103.0,154,50.640368
98.0,149,51.188202
104.0,155,51.758587
88.0,139,52.269166
102.0,153,52.853853
118.0,169,53.492391
90.0,141,54.044945
215.0,316,55.229727
166.0,217,56.054214
129.0,180,56.840798
226.0,327,58.100645
161.0,212,58.87706
149.0,250,59.812507
149.0,250,60.778476
138.0,189,61.475091
135.0,186,62.16438
143.0,194,62.908558
132.0,183,63.581156
133.0,184,64.254909
143.0,194,64.970962
166.0,217,65.780147
137.0,188,66.472157
140.0,191,67.167309
163.0,214,67.940529
135.0,186,68.638315
150.0,201,69.382095
347.0,398,70.851832
138.0,189,71.572285
142.0,193,72.298998
386.0,437,73.901294
325.0,376,75.272737
149.0,200,75.998661
339.0,390,77.461716
160.0,211,78.236715
331.0,382,79.647612
324.0,375,81.017966
376.0,427,82.639792
360.0,411,84.142681
347.0,398,85.593776
612.0,663,88.037338
134.0,235,88.91936
127.0,228,89.758479
-9.0,92,90.095036
121.0,222,90.902101
180.0,281,92.012653
361.0,412,93.532242
158.0,259,94.489984
367.0,468,96.205434
184.0,285,97.267779
933.0,984,100.864855
376.0,427,102.470858
1000.0,1000,106.1463
117.0,218,106.964738
94.0,195,107.676106
263.0,364,109.004713
214.0,315,110.166702
193.0,294,111.262946
162.0,263,112.21865
63.0,164,112.861682
54.0,155,113.432766
49.0,150,113.993855
72.0,173,114.627046
55.0,156,115.20023
66.0,167,115.80555
52.0,153,116.394792
59.0,160,116.982641
74.0,175,117.623086
228.0,329,118.827535
317.0,418,120.378695
195.0,296,121.463621
48.0,149,122.010585
43.0,144,122.539895
153.0,254,123.535715
33.0,134,124.032104
35.0,136,124.529829
143.0,244,125.426716
27.0,128,125.914744
35.0,136,126.419171
36.0,137,126.926745
37.0,138,127.432653
42.0,143,127.970437
22.0,123,128.420698
26.0,127,128.891425
28.0,129,129.368394
26.0,127,129.853658
25.0,126,130.319317
30.0,131,130.803446
19.0,120,131.247107
23.0,124,131.728903
20.0,121,132.17739
157.0,258,133.127468
18.0,119,133.605052
197.0,248,134.55562
309.0,360,135.93154
378.0,479,137.711644
287.0,388,139.141782
145.0,246,140.07753
169.0,270,141.120313
152.0,253,142.057562
14.0,115,142.483263
155.0,256,143.437052
17.0,118,143.880648
18.0,119,144.410288
18.0,119,144.910129
19.0,120,145.38402
24.0,125,145.928695
657.0,708,148.630807
474.0,525,150.655883
1000.0,1000,154.405885
205.0,306,155.572999
216.0,317,156.808683
237.0,338,158.085423
207.0,308,159.238137
205.0,306,160.432065
288.0,339,161.729737
206.0,307,162.85892
217.0,318,164.056663
694.0,745,166.848427
754.0,855,170.088551
195.0,296,171.176771
217.0,318,172.36929
247.0,348,173.650105
198.0,299,174.753318
204.0,305,175.952836
1000.0,1000,179.649292
201.0,302,180.759108
218.0,319,181.933801
233.0,334,183.161174
246.0,347,184.45782
255.0,356,185.804723
280.0,381,187.222875
238.0,339,188.469046
273.0,374,189.862707
241.0,342,191.116756
384.0,485,192.991716
250.0,351,194.291603
1000.0,1000,198.043831
1000.0,1000,201.807701
1000.0,1000,205.801922
1000.0,1000,209.674493
1000.0,1000,213.598113
1000.0,1000,217.580856
1000.0,1000,221.454283
301.0,402,222.940704
452.0,553,225.117042
1000.0,1000,228.848184
1000.0,1000,232.520358
1000.0,1000,236.257288
1000.0,1000,240.03726
1000.0,1000,243.948528
1000.0,1000,247.67938
1000.0,1000,251.622875
1000.0,1000,255.455763
570.0,621,257.794014
912.0,963,261.589039
804.0,855,264.767595
1000.0,1000,268.536083
1000.0,1000,272.356824
1000.0,1000,276.083818
1000.0,1000,279.892191
1000.0,1000,283.690903
1000.0,1000,287.360901
1000.0,1000,291.120352
1000.0,1000,294.790719
1000.0,1000,298.502211
1000.0,1000,302.243851
1000.0,1000,305.915612
1000.0,1000,309.585732
1000.0,1000,313.359012
107.0,208,314.129762
1000.0,1000,317.801528
1000.0,1000,321.494611
1000.0,1000,325.228083
1000.0,1000,329.029319
1000.0,1000,333.260184
1000.0,1000,337.05001
1000.0,1000,340.907793
1000.0,1000,344.681738
1000.0,1000,348.839489
1000.0,1000,352.568538
1000.0,1000,356.305114
1000.0,1000,360.201799
1000.0,1000,364.350654
1000.0,1000,368.293499
1000.0,1000,372.023964
1000.0,1000,375.889693
